%%BEGIN_HEADER
	%%BEGIN DATABASE_INFORMATION
		%Date.0 ( 13.9.2019 )
		%Time.0 ( 14:26 )
	%%END DATABASE_INFORMATION
	%%BEGIN SETUP_INFORMATION
		%TrackerVersion.0 ( Tracker version 2.38 release 12.8.2012 )
		%ElapsedTime_ms.0 ( 61061 )
		%Paradigm.0 ( PlacePreference )
		%FeederParameters.0 ( 1500 0 )
			// %FeederParameters.0 ( ENTRANCE_LATENCY EXIT_LATENCY )
		%ElapsedPath_m.0 ( 0.00 )
		%ArenaDiameter_m.0 ( 1.80 )
		%TrackerResolution_PixPerCM.0 ( 1.4222 )
		%ArenaCenterXY.0 ( 127.5 127.5 )
		%Frame.0 ( RoomFrame )
		%ReinforcedSector.0 ( 127.5000 38.2500 7 )
			//%ReinforcedSector.0 ( CENTER_X CENTER_Y RADIUS )
		%RoomTrackReinforcedSector.0 ( 127.5000 38.2500 7 )
			//%RoomTrackReinforcedSector.0 ( CENTER_X CENTER_Y RADIUS )
	%%END SETUP_INFORMATION
	%%BEGIN RECORD_FORMAT
		%Sample.0 ( FrameCount 1msTimeStamp RoomX RoomY Sectors State Flags FrameInfo )
			//Sectors indicate if the object is in a target. Number is binary coded. Sectors = 0: no target, Sectors = 1: room target, Sectors: = 2 arena target, Sectors: = 3 room and arena target
			////State indicates the Watermaze State: OutsideTarget = 0, EntranceLatency = 1, InsideTarget = 3, OutsideRefractory = 4, BadSpot = 5
			//FrameInfo indicates succesfuly tracked spots: ReferencePoint * 2^0 + Spot0 * 2^(1+0) + Spot1 * 2^(1+1) + Spot2 * 2^(1+2) .... 
	%%END RECORD_FORMAT
%%END_HEADER
1	60	243	165	0	0	*	2
2	100	243	164	0	0	*	2
3	140	241	164	0	0	*	2
4	180	240	166	0	0	*	2
5	220	239	167	0	0	*	2
6	260	239	166	0	0	*	2
7	300	239	167	0	0	*	2
8	340	240	168	0	0	*	2
9	380	239	169	0	0	*	2
10	420	238	170	0	0	*	2
11	460	237	171	0	0	*	2
12	500	237	171	0	0	*	2
13	540	235	171	0	0	*	2
14	580	235	173	0	0	*	2
15	620	233	173	0	0	*	2
16	660	233	174	0	0	*	2
17	700	232	174	0	0	*	2
18	740	231	175	0	0	*	2
19	780	230	176	0	0	*	2
20	820	228	177	0	0	*	2
21	860	227	177	0	0	*	2
22	900	225	179	0	0	*	2
23	940	224	179	0	0	*	2
24	980	224	179	0	0	*	2
25	1020	222	180	0	0	*	2
26	1060	220	181	0	0	*	2
27	1100	219	182	0	0	*	2
28	1140	217	183	0	0	*	2
29	1180	211	185	0	0	*	2
30	1220	213	184	0	0	*	2
31	1260	211	185	0	0	*	2
32	1300	209	185	0	0	*	2
33	1340	206	185	0	0	*	2
34	1380	204	186	0	0	*	2
35	1420	202	186	0	0	*	2
36	1460	199	186	0	0	*	2
37	1500	195	186	0	0	*	2
38	1540	190	186	0	0	*	2
39	1580	191	186	0	0	*	2
40	1620	189	186	0	0	*	2
41	1660	186	186	0	0	*	2
42	1700	183	186	0	0	*	2
43	1740	180	186	0	0	*	2
44	1780	178	185	0	0	*	2
45	1820	176	185	0	0	*	2
46	1860	173	185	0	0	*	2
47	1900	170	185	0	0	*	2
48	1940	167	185	0	0	*	2
49	1980	164	185	0	0	*	2
50	2020	161	185	0	0	*	2
